"Unnamed: 0_level_0, Week","Unnamed: 1_level_0, Day","Unnamed: 2_level_0, Date","Unnamed: 3_level_0, Unnamed: 3_level_1","Unnamed: 4_level_0, Unnamed: 4_level_1","Unnamed: 5_level_0, Unnamed: 5_level_1","Unnamed: 6_level_0, OT","Unnamed: 7_level_0, Rec","Unnamed: 8_level_0, Unnamed: 8_level_1","Unnamed: 9_level_0, Opp","Score, Tm","Score, Opp","Offense, 1stD","Offense, TotYd","Offense, PassY","Offense, RushY","Offense, TO","Defense, 1stD","Defense, TotYd","Defense, PassY","Defense, RushY","Defense, TO","Expected Points, Offense","Expected Points, Defense","Expected Points, Sp. Tms","team_abbrev, ","season, "
1,Sun,September 10,1:00PM ET,boxscore,W,,1-0,@,Washington Redskins,30.0,17.0,19.0,356.0,298.0,58.0,2.0,16.0,264.0,200.0,64.0,4.0,-2.95,12.95,4.05,phi,2017
2,Sun,September 17,1:00PM ET,boxscore,L,,1-1,@,Kansas City Chiefs,20.0,27.0,27.0,406.0,299.0,107.0,2.0,16.0,344.0,232.0,112.0,,10.61,-11.61,-3.6,phi,2017
3,Sun,September 24,1:00PM ET,boxscore,W,,2-1,,New York Giants,27.0,24.0,24.0,354.0,161.0,193.0,1.0,21.0,415.0,366.0,49.0,2.0,8.14,-5.7,-0.22,phi,2017
4,Sun,October 1,4:05PM ET,boxscore,W,,3-1,@,Los Angeles Chargers,26.0,24.0,26.0,454.0,240.0,214.0,,18.0,400.0,342.0,58.0,1.0,18.04,-16.92,3.88,phi,2017
5,Sun,October 8,1:00PM ET,boxscore,W,,4-1,,Arizona Cardinals,34.0,7.0,19.0,419.0,297.0,122.0,1.0,16.0,307.0,276.0,31.0,1.0,16.42,3.67,5.58,phi,2017
6,Thu,October 12,8:25PM ET,boxscore,W,,5-1,@,Carolina Panthers,28.0,23.0,15.0,310.0,209.0,101.0,1.0,23.0,305.0,225.0,80.0,3.0,-0.91,6.23,1.91,phi,2017
7,Mon,October 23,8:30PM ET,boxscore,W,,6-1,,Washington Redskins,34.0,24.0,23.0,371.0,244.0,127.0,1.0,19.0,344.0,269.0,75.0,1.0,15.57,-3.7,0.77,phi,2017
8,Sun,October 29,1:00PM ET,boxscore,W,,7-1,,San Francisco 49ers,33.0,10.0,19.0,304.0,192.0,112.0,1.0,14.0,238.0,144.0,94.0,2.0,3.12,18.94,1.57,phi,2017
9,Sun,November 5,1:00PM ET,boxscore,W,,8-1,,Denver Broncos,51.0,23.0,25.0,419.0,222.0,197.0,1.0,14.0,226.0,191.0,35.0,2.0,16.4,17.51,-8.3,phi,2017
10,,,,,,,,,Bye Week,,,,,,,,,,,,,,,,phi,2017
11,Sun,November 19,8:30PM ET,boxscore,W,,9-1,@,Dallas Cowboys,37.0,9.0,17.0,383.0,168.0,215.0,,14.0,225.0,113.0,112.0,4.0,15.09,23.68,-12.66,phi,2017
12,Sun,November 26,1:00PM ET,boxscore,W,,10-1,,Chicago Bears,31.0,3.0,24.0,420.0,244.0,176.0,3.0,8.0,140.0,134.0,6.0,2.0,8.35,21.79,-0.54,phi,2017
13,Sun,December 3,8:30PM ET,boxscore,L,,10-2,@,Seattle Seahawks,10.0,24.0,25.0,425.0,327.0,98.0,2.0,20.0,310.0,209.0,101.0,,3.98,-12.23,-1.93,phi,2017
14,Sun,December 10,4:25PM ET,boxscore,W,,11-2,@,Los Angeles Rams,43.0,35.0,29.0,455.0,316.0,139.0,1.0,17.0,307.0,198.0,109.0,2.0,15.32,-2.69,-5.62,phi,2017
15,Sun,December 17,1:00PM ET,boxscore,W,,12-2,@,New York Giants,34.0,29.0,22.0,341.0,233.0,108.0,,27.0,504.0,429.0,75.0,1.0,11.85,-16.01,7.88,phi,2017
16,Mon,December 25,8:30PM ET,boxscore,W,,13-2,,Oakland Raiders,19.0,10.0,12.0,216.0,138.0,78.0,2.0,13.0,274.0,137.0,137.0,5.0,-20.77,28.59,1.32,phi,2017
17,Sun,December 31,1:00PM ET,boxscore,L,,13-3,,Dallas Cowboys,0.0,6.0,12.0,219.0,149.0,70.0,2.0,16.0,301.0,172.0,129.0,1.0,-16.51,6.53,5.76,phi,2017
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,,phi,2017
Division,Sat,January 13,4:35PM ET,boxscore,W,,14-3,,Atlanta Falcons,15.0,10.0,22.0,334.0,238.0,96.0,2.0,19.0,281.0,195.0,86.0,,8.88,-0.03,-6.34,phi,2017
Conf. Champ.,Sun,January 21,6:40PM ET,boxscore,W,,15-3,,Minnesota Vikings,38.0,7.0,27.0,456.0,346.0,110.0,,22.0,333.0,263.0,70.0,3.0,25.85,9.11,-4.48,phi,2017
SuperBowl,Sun,February 4,6:30PM ET,boxscore,W,,16-3,N,New England Patriots,41.0,33.0,25.0,538.0,374.0,164.0,1.0,29.0,613.0,500.0,113.0,1.0,29.26,-27.61,4.65,phi,2017
